Product Number,Material,Form,Choice,Grade,Finish,Surface,Quantity,Weight (t),Length (mm),Width (mm),Height (mm),Thickness (mm),Outer Diameter (mm),Wall Thickness (mm),Web Thickness (mm),Flange Thickness (mm),Certificates,Location
46704737,Carbon Steel,Slit Coils,1st Choice,HC420LA,Cold Rolled (+CR),,1,0.795,,75,,0.9,,,,,,IT
74445456,Carbon Steel,Slit Coils,1st Choice,DX56D,Hot-dip Galvanized (+Z),Z100,1,1.048,,45,,0.75,,,,,,IT
75802899,Carbon Steel,Slit Coils,1st Choice,DX54D,Hot-dip Galvanized (+Z),Z100,1,0.36,,50,,0.75,,,,,,IT
70217269,Carbon Steel,Slit Coils,1st Choice,DX54D,Hot-dip Galvanized (+Z),Z100,1,0.36,,50,,0.75,,,,,,IT
53501313,Carbon Steel,Slit Coils,1st Choice,DX54D,Hot-dip Galvanized (+Z),Z100,1,0.44,,50,,0.75,,,,,,IT
78968169,Carbon Steel,Slit Coils,1st Choice,DX54D,Hot-dip Galvanized (+Z),Z100,1,0.44,,50,,0.75,,,,,,IT
24831521,Carbon Steel,Slit Coils,1st Choice,DX54D,Hot-dip Galvanized (+Z),Z100,1,0.474,,54,,0.75,,,,,,IT
15804075,Carbon Steel,Slit Coils,1st Choice,HX220BD,Hot-dip Galvanized (+Z),Z100,1,0.438,,71,,0.75,,,,,,IT
47898922,Carbon Steel,Slit Coils,1st Choice,HX220BD,Hot-dip Galvanized (+Z),Z100,1,0.379,,71,,0.75,,,,,,IT
27914893,Carbon Steel,Slit Coils,1st Choice,FEE220BH,Hot-dip Galvanized (+Z),Z100,1,0.889,,50,,0.8,,,,,,IT
75787124,Carbon Steel,Slit Coils,1st Choice,DX54D,Hot-dip Galvanized (+Z),Z100,1,0.926,,55,,0.8,,,,,,IT
25677959,Carbon Steel,Slit Coils,1st Choice,HC420LA,Cold Rolled (+CR),,1,0.787,,75,,0.9,,,,,,IT
44957788,Carbon Steel,Slit Coils,1st Choice,DC04,Hot-dip Galvanized (+Z),Z100,1,0.499,,78,,0.8,,,,,,IT
43408478,Carbon Steel,Slit Coils,1st Choice,DC04,Hot-dip Galvanized (+Z),Z100,1,0.506,,78,,0.8,,,,,,IT
90379487,Carbon Steel,Slit Coils,1st Choice,DC04,Hot-dip Galvanized (+Z),Z100,1,0.955,,55,,0.85,,,,,,IT
45686003,Carbon Steel,Slit Coils,1st Choice,DX54D,Hot-dip Galvanized (+Z),Z100,1,1.192,,75,,0.85,,,,,,IT
70791835,Carbon Steel,Slit Coils,1st Choice,DX54D,Hot-dip Galvanized (+Z),Z100,1,1.295,,75,,0.85,,,,,,IT
45387366,Carbon Steel,Slit Coils,1st Choice,DX54D,Hot-dip Galvanized (+Z),Z100,1,4.38,,265,,0.85,,,,,,IT
50531498,Carbon Steel,Slit Coils,1st Choice,DX56D,Hot-dip Galvanized (+Z),Z100,1,0.407,,94,,0.88,,,,,,IT
43953368,Carbon Steel,Slit Coils,1st Choice,DX56D,Hot-dip Galvanized (+Z),Z100,1,0.428,,94,,0.88,,,,,,IT
32014213,Carbon Steel,Slit Coils,1st Choice,DX56D,Hot-dip Galvanized (+Z),Z100,1,0.408,,94,,0.88,,,,,,IT
95196576,Carbon Steel,Slit Coils,1st Choice,DX56D,Hot-dip Galvanized (+Z),Z100,1,0.428,,94,,0.88,,,,,,IT
21925752,Carbon Steel,Slit Coils,1st Choice,HC420LA,Cold Rolled (+CR),,1,0.814,,75,,0.9,,,,,,IT
31215363,Carbon Steel,Slit Coils,1st Choice,DX56D,Hot-dip Galvanized (+Z),Z100,1,0.407,,94,,0.88,,,,,,IT
72158335,Carbon Steel,Slit Coils,1st Choice,DX56D,Hot-dip Galvanized (+Z),Z100,1,0.407,,94,,0.88,,,,,,IT
69678884,Carbon Steel,Slit Coils,1st Choice,DX56D,Hot-dip Galvanized (+Z),Z100,1,0.428,,94,,0.88,,,,,,IT
36262120,Carbon Steel,Slit Coils,1st Choice,DX56D,Hot-dip Galvanized (+Z),Z100,1,0.381,,94,,0.88,,,,,,IT
29884208,Carbon Steel,Slit Coils,1st Choice,DX56D,Hot-dip Galvanized (+Z),Z100,1,0.427,,94,,0.88,,,,,,IT
54981363,Carbon Steel,Slit Coils,1st Choice,DX56D,Hot-dip Galvanized (+Z),Z100,1,0.397,,94,,0.88,,,,,,IT
44278502,Carbon Steel,Slit Coils,1st Choice,DX56D,Hot-dip Galvanized (+Z),Z100,1,0.426,,50,,0.9,,,,,,IT
34399870,Carbon Steel,Slit Coils,1st Choice,DX56D,Hot-dip Galvanized (+Z),Z100,1,0.428,,50,,0.9,,,,,,IT
73709784,Carbon Steel,Slit Coils,1st Choice,DC04,Hot-dip Galvanized (+Z),Z100,1,0.962,,55,,0.9,,,,,,IT
56382595,Carbon Steel,Slit Coils,1st Choice,DC04,Hot-dip Galvanized (+Z),Z100,1,0.958,,55,,0.9,,,,,,IT
42659413,Carbon Steel,Slit Coils,1st Choice,HC420LA,Cold Rolled (+CR),,1,0.817,,75,,0.9,,,,,,IT
27287019,Carbon Steel,Slit Coils,1st Choice,DC04,Hot-dip Galvanized (+Z),Z100,1,0.577,,60,,0.9,,,,,,IT
16824562,Carbon Steel,Slit Coils,1st Choice,DC04,Hot-dip Galvanized (+Z),Z100,1,0.603,,60,,0.9,,,,,,IT
25197915,Carbon Steel,Slit Coils,1st Choice,DC04,Hot-dip Galvanized (+Z),Z100,1,1.09,,95,,0.9,,,,,,IT
13230088,Carbon Steel,Slit Coils,1st Choice,DC04,Hot-dip Galvanized (+Z),Z100,1,0.965,,95,,0.9,,,,,,IT
75702556,Carbon Steel,Slit Coils,1st Choice,DC04,Hot-dip Galvanized (+Z),Z100,1,0.955,,95,,0.9,,,,,,IT
16979299,Carbon Steel,Slit Coils,1st Choice,DC04,Hot-dip Galvanized (+Z),Z100,1,0.955,,95,,0.9,,,,,,IT
31224497,Carbon Steel,Slit Coils,1st Choice,DC04,Hot-dip Galvanized (+Z),Z100,1,0.953,,95,,0.9,,,,,,IT
44936005,Carbon Steel,Slit Coils,1st Choice,DC04,Hot-dip Galvanized (+Z),Z100,1,0.951,,95,,0.9,,,,,,IT
16606877,Carbon Steel,Slit Coils,1st Choice,DC04,Hot-dip Galvanized (+Z),Z100,1,0.951,,95,,0.9,,,,,,IT
45661844,Carbon Steel,Slit Coils,1st Choice,DC04,Hot-dip Galvanized (+Z),Z100,1,0.954,,95,,0.9,,,,,,IT
94838970,Carbon Steel,Slit Coils,1st Choice,HC420LA,Cold Rolled (+CR),,1,0.8,,75,,0.9,,,,,,IT
26585717,Carbon Steel,Slit Coils,1st Choice,DC04,Hot-dip Galvanized (+Z),Z100,1,0.955,,95,,0.9,,,,,,IT
40292016,Carbon Steel,Slit Coils,1st Choice,DC04,Hot-dip Galvanized (+Z),Z100,1,0.994,,110,,0.9,,,,,,IT
45715363,Carbon Steel,Slit Coils,1st Choice,DC04,Hot-dip Galvanized (+Z),Z100,1,1.005,,110,,0.9,,,,,,IT
76290063,Carbon Steel,Slit Coils,1st Choice,DC04,Hot-dip Galvanized (+Z),Z100,1,0.895,,110,,0.9,,,,,,IT
27806691,Carbon Steel,Slit Coils,1st Choice,DC04,Hot-dip Galvanized (+Z),Z100,1,1.013,,110,,0.9,,,,,,IT
94508790,Carbon Steel,Slit Coils,1st Choice,DX54D,Hot-dip Galvanized (+Z),Z100,1,1.7,,114,,0.9,,,,,,IT
43103738,Carbon Steel,Slit Coils,1st Choice,DX54D,Hot-dip Galvanized (+Z),Z100,1,1.59,,114,,0.9,,,,,,IT
55773434,Carbon Steel,Slit Coils,1st Choice,FEE340F,Hot-dip Galvanized (+Z),Z100,1,1.006,,140,,0.9,,,,,,IT
75848777,Carbon Steel,Slit Coils,1st Choice,FEE340F,Hot-dip Galvanized (+Z),Z100,1,1.022,,140,,0.9,,,,,,IT
92944240,Carbon Steel,Slit Coils,1st Choice,FEE340F,Hot-dip Galvanized (+Z),Z100,1,0.912,,140,,0.9,,,,,,IT
82933363,Carbon Steel,Slit Coils,1st Choice,HC420LA,Cold Rolled (+CR),,1,0.78,,75,,0.9,,,,,,IT
19806136,Carbon Steel,Slit Coils,1st Choice,FEE340F,Hot-dip Galvanized (+Z),Z100,1,0.888,,140,,0.9,,,,,,IT
26674176,Carbon Steel,Slit Coils,1st Choice,FEE210IF,Hot-dip Galvanized (+Z),Z100,1,1.436,,220,,0.9,,,,,,IT
68641843,Carbon Steel,Slit Coils,1st Choice,HX260BD,Hot-dip Galvanized (+Z),Z100,1,0.695,,110,,0.95,,,,,,IT
43206470,Carbon Steel,Slit Coils,1st Choice,HX260BD,Hot-dip Galvanized (+Z),Z100,1,2.66,,360,,0.95,,,,,,IT
54449890,Carbon Steel,Slit Coils,1st Choice,DC04,Hot-dip Galvanized (+Z),Z100,1,0.599,,44,,1,,,,,,IT
68724438,Carbon Steel,Slit Coils,1st Choice,DC04,Hot-dip Galvanized (+Z),Z100,1,0.956,,44,,1,,,,,,IT
94206183,Carbon Steel,Slit Coils,1st Choice,HX220YD,Hot-dip Galvanized (+Z),Z100,1,0.328,,46,,1,,,,,,IT
32842645,Carbon Steel,Slit Coils,1st Choice,HX220YD,Hot-dip Galvanized (+Z),Z100,1,0.344,,46,,1,,,,,,IT
23598237,Carbon Steel,Slit Coils,1st Choice,HX220YD,Hot-dip Galvanized (+Z),Z100,1,0.341,,46,,1,,,,,,IT
62524893,Carbon Steel,Slit Coils,1st Choice,HX220YD,Hot-dip Galvanized (+Z),Z100,1,0.343,,46,,1,,,,,,IT
40317812,Carbon Steel,Slit Coils,1st Choice,HC420LA,Cold Rolled (+CR),,1,1.46,,135,,0.9,,,,,,IT
47418251,Carbon Steel,Slit Coils,1st Choice,FE600DPF,Hot-dip Galvanized (+Z),Z100,1,0.424,,50,,1,,,,,,IT
45039039,Carbon Steel,Slit Coils,1st Choice,DC04,Hot-dip Galvanized (+Z),Z100,1,0.564,,52,,1,,,,,,IT
82488517,Carbon Steel,Slit Coils,1st Choice,DC04,Hot-dip Galvanized (+Z),Z100,1,0.572,,52,,1,,,,,,IT
33779533,Carbon Steel,Slit Coils,1st Choice,HX220BD,Hot-dip Galvanized (+Z),Z100,1,0.316,,53,,1,,,,,,IT
60661947,Carbon Steel,Slit Coils,1st Choice,HX220BD,Hot-dip Galvanized (+Z),Z100,1,0.302,,53,,1,,,,,,IT
68624768,Carbon Steel,Slit Coils,1st Choice,HX220BD,Hot-dip Galvanized (+Z),Z100,1,0.298,,53,,1,,,,,,IT
98070008,Carbon Steel,Slit Coils,1st Choice,HX220BD,Hot-dip Galvanized (+Z),Z100,1,0.305,,53,,1,,,,,,IT
76597469,Carbon Steel,Slit Coils,1st Choice,DX54D,Hot-dip Galvanized (+Z),Z100,1,0.7,,60,,1,,,,,,IT
73734901,Carbon Steel,Slit Coils,1st Choice,DX54D,Hot-dip Galvanized (+Z),Z100,1,0.64,,60,,1,,,,,,IT
91411713,Carbon Steel,Slit Coils,1st Choice,HX220BD,Hot-dip Galvanized (+Z),Z100,1,0.34,,60,,1,,,,,,IT
36924126,Carbon Steel,Slit Coils,1st Choice,HC340LA,Cold Rolled (+CR),,1,0.624,,105,,1,,,,,,IT
79023429,Carbon Steel,Slit Coils,1st Choice,HX220BD,Hot-dip Galvanized (+Z),Z100,1,0.32,,60,,1,,,,,,IT
29858560,Carbon Steel,Slit Coils,1st Choice,DX54D,Hot-dip Galvanized (+Z),Z100,1,0.72,,65,,1,,,,,,IT
40703465,Carbon Steel,Slit Coils,1st Choice,DX54D,Hot-dip Galvanized (+Z),Z100,1,0.704,,65,,1,,,,,,IT
88761990,Carbon Steel,Slit Coils,1st Choice,DX54D,Hot-dip Galvanized (+Z),Z100,1,1.409,,65,,1,,,,,,IT
78621820,Carbon Steel,Slit Coils,1st Choice,DC04,Hot-dip Galvanized (+Z),Z100,1,0.586,,75,,1,,,,,,IT
86381086,Carbon Steel,Slit Coils,1st Choice,DC04,Hot-dip Galvanized (+Z),Z100,1,0.522,,75,,1,,,,,,IT
63280292,Carbon Steel,Slit Coils,1st Choice,HX220BD,Hot-dip Galvanized (+Z),Z100,1,0.455,,80,,1,,,,,,IT
48441871,Carbon Steel,Slit Coils,1st Choice,HX220BD,Hot-dip Galvanized (+Z),Z100,1,0.386,,85,,1,,,,,,IT
19326688,Carbon Steel,Slit Coils,1st Choice,HX220BD,Hot-dip Galvanized (+Z),Z100,1,0.484,,85,,1,,,,,,IT
71849366,Carbon Steel,Slit Coils,1st Choice,HX220BD,Hot-dip Galvanized (+Z),Z100,1,0.492,,89,,1,,,,,,IT
72135681,Stainless Steel,Sheets,1st Choice,AISI 304L,Cold rolled - heat treated - pickled - skin passed (2B),,1,0.18,3000,1000,,0.4,,,,,,ES
46936488,Stainless Steel,Sheets,1st Choice,AISI 304L,Scotch Brite,,1,2.222,2740,1250,,1.5,,,,,,ES
42044265,Stainless Steel,Sheets,1st Choice,X2CrTiNb18,Scotch Brite,,1,0.972,2003,531,,0.6,,,,,,ES
98644601,Stainless Steel,Sheets,1st Choice,X2CrTiNb18,Scotch Brite,,1,0.975,2003,531,,0.6,,,,,,ES
47716134,Stainless Steel,Sheets,1st Choice,X2CrTiNb18,Scotch Brite,,1,1.59,2003,531,,0.6,,,,,,ES
35480057,Stainless Steel,Sheets,1st Choice,X2CrTiNb18,Scotch Brite,,1,1.053,2240,1250,,1,,,,,,ES
83882938,Stainless Steel,Sheets,1st Choice,X2CrTiNb18,Scotch Brite,,1,0.979,2240,1250,,1,,,,,,ES
78585546,Stainless Steel,Sheets,1st Choice,X2CrTiNb18,Scotch Brite,,1,0.979,2240,1250,,1,,,,,,ES
10718631,Stainless Steel,Sheets,1st Choice,X2CrTiNb18,Scotch Brite,,1,1.005,3000,1250,,1.2,,,,,,ES
57768090,Stainless Steel,Sheets,1st Choice,JSLAUS,Cold rolled - heat treated - pickled - skin passed (2B),,1,0.383,496,378,,0.5,,,,,,ES
80923272,Stainless Steel,Sheets,1st Choice,JSLAUS,Cold rolled - heat treated - pickled - skin passed (2B),,1,0.382,496,378,,0.5,,,,,,ES
86809817,Stainless Steel,Sheets,1st Choice,JSLAUS,Cold rolled - heat treated - pickled - skin passed (2B),,1,0.367,496,378,,0.5,,,,,,ES
87492577,Stainless Steel,Sheets,1st Choice,AISI 316L,Scotch Brite,,1,0.39,2000,1000,,0.6,,,,,,ES
77112976,Stainless Steel,Sheets,1st Choice,JSLAUS,Cold rolled - heat treated - pickled - skin passed (2B),,1,0.563,627,576,,0.5,,,,,,ES
39787606,Stainless Steel,Sheets,1st Choice,JSLAUS,Scotch Brite,,1,0.995,2165,525,,0.8,,,,,,ES
38417469,Stainless Steel,Sheets,1st Choice,AISI 204Cu,Cold rolled - heat treated - pickled - skin passed (2B),,1,0.374,554,360,,0.5,,,,,,ES
92554650,Stainless Steel,Sheets,1st Choice,AISI 204Cu,Cold rolled - heat treated - pickled - skin passed (2B),,1,0.386,496,377,,0.5,,,,,,ES
17729002,Stainless Steel,Sheets,1st Choice,AISI 204Cu,Cold rolled - heat treated - pickled - skin passed (2B),,1,0.39,496,377,,0.5,,,,,,ES
72017941,Stainless Steel,Sheets,1st Choice,AISI 204Cu,Cold rolled - heat treated - pickled - skin passed (2B),,1,0.39,496,377,,0.5,,,,,,ES
16166420,Stainless Steel,Sheets,1st Choice,AISI 204Cu,Cold rolled - heat treated - pickled - skin passed (2B),,1,0.187,2000,1000,,1.2,,,,,,ES
74087938,Stainless Steel,Sheets,1st Choice,201LN,Scotch Brite,,1,0.982,1760,842,,0.6,,,,,,ES
10373590,Stainless Steel,Sheets,1st Choice,JSLAUS,Cold rolled - heat treated - pickled - skin passed (2B),,1,0.53,3000,1250,,0.7,,,,,,ES
38751737,Stainless Steel,Sheets,1st Choice,J4,Cold rolled - heat treated - pickled - skin passed (2B),,1,0.117,1600,688,,0.5,,,,,,ES
59211086,Stainless Steel,Sheets,1st Choice,X6Cr17,Cold rolled - heat treated - pickled - skin passed (2B),,1,0.1,2000,800,,0.8,,,,,,ES
19929647,Stainless Steel,Sheets,1st Choice,J4,Cold rolled - heat treated - pickled - skin passed (2B),,1,0.277,1530,1250,,0.5,,,,,,ES
91379159,Stainless Steel,Sheets,1st Choice,J4,Cold rolled - heat treated - pickled - skin passed (2B),,1,0.327,3000,1250,,0.5,,,,,,ES
65059562,Stainless Steel,Sheets,1st Choice,J4,Cold rolled - heat treated - pickled - skin passed (2B),,1,0.162,2000,800,,0.6,,,,,,ES
20930489,Stainless Steel,Sheets,1st Choice,J4,Cold rolled - heat treated - pickled - skin passed (2B),,1,0.392,1750,755,,1,,,,,,ES
22352335,Stainless Steel,Sheets,1st Choice,J4,Cold rolled - heat treated - pickled - skin passed (2B),,1,0.074,2540,755,,1,,,,,,ES
52292849,Stainless Steel,Sheets,1st Choice,J4,Cold rolled - heat treated - pickled - skin passed (2B),,1,0.161,2280,800,,1,,,,,,ES
27456871,Stainless Steel,Sheets,1st Choice,J4,Cold rolled - heat treated - pickled - skin passed (2B),,1,0.137,2000,870,,1,,,,,,ES
71365052,Stainless Steel,Sheets,1st Choice,J4,Cold rolled - heat treated - pickled - skin passed (2B),,1,0.281,2000,1000,,1.2,,,,,,ES
45376639,Stainless Steel,Sheets,1st Choice,AISI 204Cu,Cold rolled - heat treated - pickled - skin passed (2B),,1,1.072,692,603,,0.5,,,,,,ES
16175039,Stainless Steel,Sheets,1st Choice,AISI 204Cu,Cold rolled - heat treated - pickled - skin passed (2B),,1,0.059,3000,1250,,0.5,,,,,,ES
17232862,Stainless Steel,Sheets,1st Choice,X6Cr17,Scotch Brite,,1,1.022,2500,1250,,1.5,,,,,,ES
83470150,Stainless Steel,Sheets,1st Choice,AISI 204Cu,Cold rolled - heat treated - pickled - skin passed (2B),,1,0.087,2500,1250,,1.2,,,,,,ES
33619294,Stainless Steel,Sheets,1st Choice,AISI 204Cu,Cold rolled - heat treated - pickled - skin passed (2B),,1,0.146,2500,1250,,1.5,,,,,,ES
44619236,Stainless Steel,Sheets,1st Choice,J4,Polished,,1,0.147,1480,860,,0.8,,,,,,ES
91255547,Stainless Steel,Sheets,1st Choice,J4,Cold rolled - heat treated - pickled - skin passed (2B),,1,1.109,1349,498,,0.4,,,,,,ES
40180655,Stainless Steel,Sheets,1st Choice,J4,Cold rolled - heat treated - pickled - skin passed (2B),,1,0.075,1450,750,,0.4,,,,,,ES
55375830,Stainless Steel,Sheets,1st Choice,J4,Cold rolled - heat treated - pickled - skin passed (2B),,1,0.047,2000,1000,,0.4,,,,,,ES
61122342,Stainless Steel,Sheets,1st Choice,J4,Cold rolled - heat treated - pickled - skin passed (2B),,1,0.938,1356,663,,0.5,,,,,,ES
63620865,Stainless Steel,Sheets,1st Choice,J4,Cold rolled - heat treated - pickled - skin passed (2B),,1,0.083,2000,800,,0.5,,,,,,ES
91978907,Stainless Steel,Sheets,1st Choice,J4,Cold rolled - heat treated - pickled - skin passed (2B),,1,0.393,3000,1250,,0.6,,,,,,ES
45382082,Stainless Steel,Sheets,1st Choice,J4,Cold rolled - heat treated - pickled - skin passed (2B),,1,0.716,3000,1250,,0.7,,,,,,ES
50774455,Stainless Steel,Sheets,1st Choice,X6Cr17,Scotch Brite,,1,1.022,2500,1250,,1.5,,,,,,ES
44199164,Stainless Steel,Sheets,1st Choice,J4,Cold rolled - heat treated - pickled - skin passed (2B),,1,0.576,2000,1000,,0.8,,,,,,ES
27966724,Stainless Steel,Sheets,1st Choice,J4,Cold rolled - heat treated - pickled - skin passed (2B),,1,0.196,3000,1200,,0.8,,,,,,ES
99644206,Stainless Steel,Sheets,1st Choice,J4,Cold rolled - heat treated - pickled - skin passed (2B),,1,0.138,3000,1250,,0.8,,,,,,ES
78471645,Stainless Steel,Sheets,1st Choice,J4,Cold rolled - heat treated - pickled - skin passed (2B),,1,0.441,3000,1250,,0.8,,,,,,ES
89274212,Stainless Steel,Sheets,1st Choice,J4,Cold rolled - heat treated - pickled - skin passed (2B),,1,0.513,2710,870,,1,,,,,,ES
27801813,Stainless Steel,Sheets,1st Choice,J4,Cold rolled - heat treated - pickled - skin passed (2B),,1,0.377,3000,870,,1,,,,,,ES
39190894,Stainless Steel,Sheets,1st Choice,J4,Cold rolled - heat treated - pickled - skin passed (2B),,1,0.27,2000,1000,,1,,,,,,ES
48085060,Stainless Steel,Sheets,1st Choice,J4,Cold rolled - heat treated - pickled - skin passed (2B),,1,0.192,2000,1000,,1.5,,,,,,ES
26113947,Stainless Steel,Sheets,1st Choice,J4,Cold rolled - heat treated - pickled - skin passed (2B),,1,0.397,2500,1250,,1.5,,,,,,ES
86136087,Stainless Steel,Sheets,1st Choice,J4,Cold rolled - heat treated - pickled - skin passed (2B),,1,0.658,3000,1250,,1.5,,,,,,ES
97803213,Stainless Steel,Sheets,1st Choice,X2CrTiNb18,Cold rolled - heat treated - pickled - skin passed (2B),,1,0.081,1750,1250,,0.7,,,,,,ES
93078456,Stainless Steel,Sheets,1st Choice,J4,Cold rolled - heat treated - pickled - skin passed (2B),,1,0.241,2500,1250,,2,,,,,,ES
11522221,Stainless Steel,Sheets,1st Choice,J4,Polished,,1,1.867,2500,1250,,2.5,,,,,,ES
37089598,Stainless Steel,Sheets,1st Choice,J4,Polished,,1,1.865,2500,1250,,2.5,,,,,,ES
46298340,Stainless Steel,Sheets,1st Choice,J4,Polished,,1,0.93,2500,1250,,2.5,,,,,,ES
84345020,Stainless Steel,Sheets,1st Choice,J4,Polished,,1,0.885,2500,1250,,3,,,,,,ES
36068783,Stainless Steel,Sheets,1st Choice,X2CrTiNb18,Scotch Brite,,1,0.89,2003,481,,0.6,,,,,,ES
74127703,Stainless Steel,Sheets,1st Choice,X2CrTiNb18,Scotch Brite,,1,0.887,2003,481,,0.6,,,,,,ES
57284892,Stainless Steel,Sheets,1st Choice,X2CrTiNb18,Scotch Brite,,1,0.886,2003,481,,0.6,,,,,,ES
51268506,Carbon Steel,Slit Coils,1st Choice,S500MC,HR Pickled,O,1,0.515,,50,,1.5,,,,,3.1,FR
42168401,Carbon Steel,Slit Coils,1st Choice,S355MC,HR Pickled,O,1,0.665,,50,,2.5,,,,,3.1,FR
88572753,Carbon Steel,Slit Coils,1st Choice,S355MC,HR Pickled,O,2,0.52,,50,,3,,,,,3.1,FR
55447918,Carbon Steel,Slit Coils,1st Choice,CR300LA,Hot-dip Galvanized (+GI),GI60/60 MBO,1,0.485,,50,,1.2,,,,,3.1,FR
92440799,Carbon Steel,Slit Coils,1st Choice,S500MC,HR Pickled,O,1,0.495,,50,,1.5,,,,,3.1,FR
69908408,Carbon Steel,Slit Coils,1st Choice,S355MC,HR Pickled,O,1,0.52,,50,,2.35,,,,,3.1,FR
24947114,Carbon Steel,Slit Coils,1st Choice,S355MC,HR Pickled,O,1,0.675,,50,,2.5,,,,,3.1,FR
90468578,Carbon Steel,Slit Coils,1st Choice,S500MC,HR Pickled,O,1,0.515,,50,,1.5,,,,,3.1,FR
62144979,Carbon Steel,Slit Coils,1st Choice,S500MC,HR Pickled,O,1,0.51,,50,,1.5,,,,,3.1,FR
59270547,Carbon Steel,Slit Coils,1st Choice,S500MC,HR Pickled,O,1,0.505,,50,,1.5,,,,,3.1,FR
92802939,Carbon Steel,Slit Coils,1st Choice,S500MC,HR Pickled,O,1,0.515,,50,,1.5,,,,,3.1,FR
75171196,Carbon Steel,Slit Coils,1st Choice,S500MC,HR Pickled,O,1,0.505,,50,,1.5,,,,,3.1,FR
61934524,Carbon Steel,Slit Coils,1st Choice,DX54D,Hot-dip Galvanized (+Z),Z140 MBO,1,0.375,,50,,0.9,,,,,3.1,FR
21020587,Carbon Steel,Slit Coils,1st Choice,S355MC,HR Pickled,O,1,0.535,,50,,2.5,,,,,3.1,FR
24177287,Carbon Steel,Slit Coils,1st Choice,S500MC,HR Pickled,O,1,0.505,,50,,1.5,,,,,3.1,FR
58805496,Carbon Steel,Slit Coils,1st Choice,S500MC,HR Pickled,O,1,0.515,,50,,1.5,,,,,3.1,FR
72573242,Carbon Steel,Slit Coils,1st Choice,S500MC,HR Pickled,O,1,0.5,,50,,1.5,,,,,3.1,FR
33746215,Carbon Steel,Slit Coils,1st Choice,HX300LAD,Hot-dip Galvanized (+Z),Z140 MBO,1,0.355,,50,,1.5,,,,,3.1,FR
42590625,Carbon Steel,Slit Coils,1st Choice,S500MC,HR Pickled,O,1,0.515,,50,,1.5,,,,,3.1,FR
33121683,Carbon Steel,Slit Coils,1st Choice,DD11,HR Pickled,O,1,0.5,,50,,2,,,,,3.1,FR
31667560,Carbon Steel,Slit Coils,1st Choice,S250GD,Hot-dip zinc magnesium (+ZM),ZM310 MAC,1,0.82,,50,,1.5,,,,,3.1,FR
87511934,Carbon Steel,Slit Coils,1st Choice,DX54D,Hot-dip Galvanized (+Z),Z140 MBO,1,0.425,,50,,0.7,,,,,3.1,FR
75310857,Carbon Steel,Slit Coils,1st Choice,S500MC,HR Pickled,O,1,0.505,,50,,1.5,,,,,3.1,FR
93945155,Carbon Steel,Slit Coils,1st Choice,S500MC,HR Pickled,O,1,0.51,,50,,1.5,,,,,3.1,FR
93209655,Carbon Steel,Slit Coils,1st Choice,DC01,Cold Rolled (+CR),AO,1,0.41,,50,,0.8,,,,,3.1,FR
98353489,Carbon Steel,Slit Coils,1st Choice,DX54D,Hot-dip Galvanized (+Z),Z140 MBO,1,0.464,,55,,0.7,,,,,3.1,FR
76140680,Carbon Steel,Slit Coils,1st Choice,DX51D,Hot-dip Galvanized (+Z),Z275 MAC,2,0.555,,55,,1.5,,,,,3.1,FR
40277210,Carbon Steel,Slit Coils,1st Choice,DC01,Cold Rolled (+CR),AO,2,0.755,,55,,1.45,,,,,3.1,FR
77644334,Carbon Steel,Slit Coils,1st Choice,S315MC,HR Pickled,O,1,0.565,,57,,2,,,,,3.1,FR
44431816,Carbon Steel,Slit Coils,1st Choice,DX51D,Hot-dip Galvanized (+Z),Z275 MAC,2,0.695,,60,,1.2,,,,,3.1,FR
80728048,Carbon Steel,Slit Coils,1st Choice,DX54D,Hot-dip Galvanized (+Z),Z140 MBO,2,0.96,,60,,1.2,,,,,3.1,FR
64310078,Carbon Steel,Slit Coils,1st Choice,S355MC,HR Pickled,O,2,1.06,,60,,2,,,,,3.1,FR
87725066,Carbon Steel,Slit Coils,1st Choice,HX300LAD,Hot-dip Galvanized (+Z),Z140 MBO,1,0.415,,60,,1.5,,,,,3.1,FR
76929864,Carbon Steel,Slit Coils,1st Choice,DD11,HR Pickled,O,1,0.525,,60,,1.5,,,,,3.1,FR
34558679,Carbon Steel,Slit Coils,1st Choice,DC06,Cold Rolled (+CR),AO,1,0.33,,50,,0.7,,,,,3.1,FR
35441234,Carbon Steel,Slit Coils,1st Choice,DX54D,Hot-dip Galvanized (+Z),Z140 MBO,1,0.465,,60,,0.7,,,,,3.1,FR
87959026,Carbon Steel,Slit Coils,1st Choice,DX54D,Hot-dip Galvanized (+GI),GI10/10 MBO,1,0.546,,60,,2,,,,,3.1,FR
50667277,Carbon Steel,Slit Coils,1st Choice,DX54D,Hot-dip Galvanized (+Z),Z140 MBO,1,0.455,,60,,0.9,,,,,3.1,FR
35430730,Carbon Steel,Slit Coils,1st Choice,S315MC,HR Pickled,O,2,0.535,,60,,3,,,,,3.1,FR
72236460,Carbon Steel,Slit Coils,1st Choice,HX300LA,Hot-dip Galvanized (+GI),GI7/7 MBO,2,1.005,,60,,1.75,,,,,3.1,FR
87557273,Carbon Steel,Slit Coils,1st Choice,HX300LA,Hot-dip Galvanized (+GI),GI7/7 MBO,2,1.08,,60,,1.75,,,,,3.1,FR
90150266,Carbon Steel,Slit Coils,1st Choice,S355MC,HR Pickled,O,1,0.66,,60,,1.5,,,,,3.1,FR
